Geneset	Number of Genes	Edge Density	Segregation
ACQUIRED_IMMUNODEFICIENCY_SYNDROME	27	0.0012222222222222222	0.0005342652047643005
ACUTE_LYMPHOCYTIC_LEUKEMIA	50	0.010058775510204081	0.008595450870531809
ADENOMA	95	0.008997536394176931	0.009829008910307049
ANEMIA	63	0.06903993855606759	0.04090304308811833
ARTHRITIS	107	0.008811144418973727	0.012261108009790632
ASTHMA	92	0.008722646918299094	0.012672857843458805
AUTISTIC_DISORDER	45	0.03171515151515151	0.016010483965549768
AUTOIMMUNE_HYPERSENSITIVITY_DISEASE	160	0.006263443396226416	0.015201853736609582
AUTOIMMUNE_LYMPHOPROLIFERATIVE_SYNDROME	76	0.005718245614035087	0.006609398997700884
AUTOSOMAL_RECESSIVE_LIMB_GIRDLE_MUSCULAR_DYSTROPHY_TYPE_2H	43	0.013565891472868217	0.010908737943618291
BACTERIAL_INFECTIOUS_DISEASE	42	0.014873403019744484	0.009561568557178268
BONE_MARROW_CANCER	128	0.013174827755905512	0.017177833608655633
BRAIN_CANCER	170	0.008736025060911938	0.01479823689513549
CEREBRAL_DEGENERATION	198	0.008546480028713532	0.01951633144206257
CHARCOT_MARIE_TOOTH_DISEASE	38	0.0052958748221906115	0.0033802832246975873
DERMATITIS	48	0.004393617021276595	0.005615940386724805
DIABETES_MELLITUS	195	0.005625799629923341	0.015195892088202762
EPILEPSY	63	0.009180747567844342	0.009789538570399782
EYE_DISEASE	212	0.0034559152284717874	0.01334923370787293
FAMILIAL_PERIODIC_PARALYSIS	39	0.013345479082321187	0.006833001552609412
FEMALE_REPRODUCTIVE_ORGAN_CANCER	139	0.007473881764153893	0.013181546276546934
FUNDUS_DYSTROPHY	45	0.016166666666666666	0.010917834851120436
HEAD_AND_NECK_SQUAMOUS_CELL_CARCINOMA	65	0.009332692307692307	0.006313496383204381
HEART_DISEASE	145	0.007590038314176244	0.018393630659888912
HYPERTENSION	78	0.017756576756576756	0.01565284115960714
INFLUENZA	20	0.005263157894736842	0.003110835974951549
INTELLECTUAL_DISABILITY	60	0.011344632768361581	0.007072768502792121
INTESTINAL_BENIGN_NEOPLASM	91	0.00925982905982906	0.010182265205594811
KIDNEY_DISEASE	146	0.0052101086443079835	0.011895751209279498
LEUKODYSTROPHY	27	0.04976638176638177	0.013539426953907972
LUNG_CANCER	183	0.006196421065273524	0.01297008856674167
LYMPHOBLASTIC_LEUKEMIA	130	0.006845557543231962	0.013786351895911604
LYMPHOMA	95	0.012757670772676371	0.017415888531954
LYSOSOMAL_STORAGE_DISEASE	69	0.007455242966751919	0.012482461036022857
MACULAR_DEGENERATION	25	0.014666666666666668	0.01253450549951429
MICROCEPHALIC_OSTEODYSPLASTIC_PRIMORDIAL_DWARFISM_TYPE_I	36	0.04370793650793651	0.010444941774456627
MOOD_DISORDER	68	0.01817427568042142	0.012292659173472246
MOTOR_NEURON_DISEASE	57	0.021693609022556393	0.009171976344603311
MYELOID_LEUKEMIA	168	0.011983390362132878	0.01971776996822576
MYOPATHY	100	0.008231111111111111	0.011696285832147515
NUTRITION_DISEASE	145	0.014367720306513407	0.023827099248948946
OSTEOCHONDRODYSPLASIA	93	0.02380294530154278	0.02503140325217242
PANCREATIC_CANCER	99	0.006231498660070088	0.007465797710939843
PAPILLARY_RENAL_CELL_CARCINOMA	43	0.005146179401993356	0.003916812202045812
PARATHYROID_GLAND_DISEASE	61	0.06465027322404372	0.027425140678152733
PARKINSON_S_DISEASE	77	0.011842788790157212	0.008961737271511514
PERIPHERAL_NERVOUS_SYSTEM_DISEASE	90	0.005059425717852684	0.007402925878309673
PERIPHERAL_NERVOUS_SYSTEM_NEOPLASM	83	0.0067857772553629155	0.005940238504743293
RETINAL_DISEASE	90	0.007255930087390761	0.010479549372164644
SCHIZOPHRENIA	172	0.01440425676594587	0.026935415985850038
STOMACH_CANCER	141	0.006098176291793314	0.010367061031466509
SYSTEMIC_LUPUS_ERYTHEMATOSUS	63	0.014285202252944188	0.015514553896099919
T_CELL_LEUKEMIA	46	0.010102415458937197	0.006760063643904466
TYPE_1_DIABETES_MELLITUS_11	42	0.007688734030197445	0.004066643814831333
VASCULAR_DISEASE	193	0.006793447754749568	0.018558511084548417
VIRAL_INFECTIOUS_DISEASE	138	0.005763672908071512	0.013397568746022579
