Geneset	Number of Genes	Edge Density	Segregation
ALLERGIC_CONTACT_DERMATITIS	41	0.022419512195121952	0.003346456549581948
ALLERGIC_HYPERSENSITIVITY_DISEASE	102	0.04559755387303436	0.01567144446009471
AMINO_ACID_METABOLIC_DISORDER	74	0.0746060718252499	0.02078063907031567
ANEMIA	89	0.04200178753830439	0.01188006321433937
ARTHRITIS	156	0.022485359801488834	0.0104825053468497
ARTHROPATHY	69	0.031133844842284736	0.00541308814158694
AUTISTIC_DISORDER	180	0.024189447548106768	0.016620214835507456
AUTOIMMUNE_HYPERSENSITIVITY_DISEASE	115	0.02930892448512586	0.012054266031853826
AUTOSOMAL_DOMINANT_CEREBELLAR_ATAXIA	35	0.10880840336134451	0.011435938887738757
AUTOSOMAL_RECESSIVE_NONSYNDROMIC_DEAFNESS	42	0.1479570267131243	0.02554797663378219
BILIARY_TRACT_DISEASE	55	0.03071717171717172	0.00539659501651099
BIPOLAR_DISORDER	335	0.030971257485029935	0.031151468829653528
BLADDER_DISEASE	64	0.018916170634920636	0.003253427082538853
BLINDNESS	34	0.04164705882352941	0.0055282162866116535
BLOOD_COAGULATION_DISEASE	59	0.06452367036820573	0.011998798815901143
BONE_MARROW_DISEASE	42	0.01827293844367015	0.0023070822865703254
BREAST_DISEASE	261	0.02487486000589449	0.01719005450076875
BRONCHIAL_DISEASE	52	0.06652865761689292	0.009942650303451626
CARBOHYDRATE_METABOLIC_DISORDER	65	0.06797067307692307	0.017424734670857773
CARDIOMYOPATHY	118	0.05918252933507171	0.018247218801767887
CENTRAL_NERVOUS_SYSTEM_CANCER	88	0.033524294670846395	0.006970620202745532
CEREBELLAR_DISEASE	64	0.030091269841269842	0.00632472122131426
CEREBRAL_DEGENERATION	116	0.024580659670164918	0.008315309973056762
CLUBFOOT	42	0.02719628339140534	0.004158735982958702
COCAINE_DEPENDENCE	69	0.06355072463768115	0.01088748125142721
CONGENITAL_DISORDER_OF_GLYCOSYLATION	27	0.19120227920227922	0.029794926800161978
CONGENITAL_HEART_DISEASE	48	0.040305851063829785	0.004689355107178556
CONGESTIVE_HEART_FAILURE	88	0.03540700104493208	0.0077031314595097655
CORNEAL_DISEASE	31	0.031040860215053763	0.0038756234721977587
CORONARY_ARTERY_DISEASE	181	0.027789441375076735	0.01281339701244533
