Geneset	Number of Genes	Edge Density	Segregation
ACYLGLYCEROL_METABOLIC_PROCESS	35	0.005042016806722689	0.007575757575757576
ADHERENS_JUNCTION_ORGANIZATION	38	0.04551920341394026	0.024786986831913247
AMINO_ACID_TRANSPORT	41	0.00975609756097561	0.01171303074670571
ANTIGEN_PROCESSING_AND_PRESENTATION	121	0.025757575757575757	0.030776826859776167
APOPTOTIC_SIGNALING_PATHWAY	161	0.02360248447204969	0.02459745934137066
CALCIUM_ION_TRANSPORT	103	0.006853226727584237	0.018255578093306288
CELL_JUNCTION_ASSEMBLY	77	0.025974025974025976	0.021081830790568655
CELL_SUBSTRATE_ADHESION	90	0.020224719101123594	0.020179372197309416
CELLULAR_RESPIRATION	84	0.08634538152610442	0.12432878975629905
CHEMICAL_SYNAPTIC_TRANSMISSION	120	0.005322128851540616	0.017924528301886792
CHLORIDE_TRANSPORT	28	0.0026455026455026454	0.0020491803278688526
CHOLESTEROL_BIOSYNTHETIC_PROCESS	26	0.006153846153846154	0.0035149384885764497
CHROMATIN_ASSEMBLY_OR_DISASSEMBLY	98	0.059751735745844727	0.04906703524533518
COMPLEMENT_ACTIVATION	39	0.022941970310391364	0.052795031055900624
DNA_DEPENDENT_DNA_REPLICATION	68	0.0781387181738367	0.036670786979810466
DNA_TEMPLATED_TRANSCRIPTION_ELONGATION	81	0.12993827160493826	0.09729604807025653
DNA_TEMPLATED_TRANSCRIPTION_TERMINATION	71	0.08209255533199195	0.05291828793774319
DOUBLE_STRAND_BREAK_REPAIR	131	0.053317674691720496	0.04782471294638154
DRUG_TRANSPORT	43	0.0033222591362126247	0.005964214711729622
ENDOPLASMIC_RETICULUM_ORGANIZATION	30	0.06436781609195402	0.01533406352683461
ENDOSOME_ORGANIZATION	50	0.05551020408163265	0.03487179487179487
ER_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT	129	0.031007751937984496	0.037613870114604764
ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	161	0.19440993788819877	0.17201346431270179
EXTRACELLULAR_MATRIX_ORGANIZATION	154	0.015448603683897801	0.028788358114520723
FATTY_ACID_CATABOLIC_PROCESS	49	0.008503401360544218	0.010638297872340425
GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS	172	0.004623963008295933	0.021269940569283705
GLYCOSPHINGOLIPID_METABOLIC_PROCESS	37	0.0045045045045045045	0.005859375
GOLGI_ORGANIZATION	61	0.020218579234972677	0.010369955156950673
GOLGI_TO_PLASMA_MEMBRANE_TRANSPORT	23	0.03162055335968379	0.01008827238335435
G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY_COUPLED_TO_CYCLIC_NUCLEOTIDE_SECOND_MESSENGER	102	0.009706853038245	0.027731558513588463
INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	79	0.03180785459266472	0.011277330264672036
LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	59	0.005260081823495032	0.010830324909747292
LYSOSOMAL_TRANSPORT	67	0.03482587064676617	0.026717557251908396
MACROAUTOPHAGY	100	0.04505050505050505	0.04567800081933634
MICROTUBULE_BUNDLE_FORMATION	30	0.009195402298850575	0.005405405405405406
MICROTUBULE_ORGANIZING_CENTER_ORGANIZATION	62	0.09201480698043363	0.029758850692662903
MRNA_3_END_PROCESSING	61	0.12950819672131147	0.05239885032058368
MRNA_CATABOLIC_PROCESS	171	0.19442724458204336	0.19324398249452954
NEURON_PROJECTION_MORPHOGENESIS	118	0.021150224540055048	0.02635854847445387
NICOTINAMIDE_NUCLEOTIDE_METABOLIC_PROCESS	64	0.040674603174603176	0.031981279251170044
NUCLEUS_ORGANIZATION	74	0.0518326545723806	0.027542789691127285
PEPTIDYL_SERINE_PHOSPHORYLATION	77	0.026999316473000683	0.013049223653782622
PEROXISOME_ORGANIZATION	41	0.08902439024390243	0.04643765903307888
PHOSPHOLIPID_TRANSPORT	32	0.020161290322580645	0.019230769230769232
POTASSIUM_ION_TRANSPORT	74	0.016660496112550906	0.05660377358490566
PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS	167	0.05540725777360941	0.048472607927291085
PROTEIN_ACETYLATION	87	0.06950013365410318	0.055272108843537414
PROTEIN_AUTOPHOSPHORYLATION	122	0.015445061644763582	0.014186162269785963
PROTEIN_DEPHOSPHORYLATION	97	0.00902061855670103	0.011554332874828061
PROTEIN_EXPORT_FROM_NUCLEUS	99	0.08658008658008658	0.046827962983610215
PROTEIN_FOLDING	110	0.046371976647206006	0.028796353842966645
PROTEIN_GLYCOSYLATION	118	0.004490801100970592	0.015048543689320388
PROTEIN_LIPIDATION	70	0.008695652173913044	0.0227765726681128
PROTEIN_METHYLATION	64	0.03968253968253968	0.023668639053254437
PROTEIN_STABILIZATION	124	0.01730920535011802	0.013247691690084303
PURINE_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS	59	0.06838106370543542	0.03910427807486631
PYRUVATE_METABOLIC_PROCESS	40	0.07948717948717948	0.03002421307506053
RAS_PROTEIN_SIGNAL_TRANSDUCTION	80	0.0189873417721519	0.01410105757931845
RECOMBINATIONAL_REPAIR	59	0.061367621274108705	0.024822695035460994
RESPONSE_TO_HYPOXIA	90	0.02421972534332085	0.016620973269362578
RESPONSE_TO_INTERFERON_GAMMA	84	0.016924842226047045	0.014296098861158226
RESPONSE_TO_IONIZING_RADIATION	77	0.04818865345181134	0.019646091681761183
RESPONSE_TO_METAL_ION	110	0.01317764804003336	0.013157894736842105
RESPONSE_TO_OXIDATIVE_STRESS	160	0.01289308176100629	0.019683149303888623
RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA	73	0.04185692541856925	0.02276019035795572
RESPONSE_TO_UNFOLDED_PROTEIN	103	0.026841804683038265	0.02153000458085204
RESPONSE_TO_UV	92	0.03201146679407549	0.018523638374343378
RESPONSE_TO_VIRUS	129	0.01247577519379845	0.02116728318947801
RETROGRADE_TRANSPORT_ENDOSOME_TO_GOLGI	63	0.027649769585253458	0.02295918367346939
RETROGRADE_VESICLE_MEDIATED_TRANSPORT_GOLGI_TO_ER	57	0.03759398496240601	0.026929982046678635
RIBONUCLEOPROTEIN_COMPLEX_ASSEMBLY	115	0.06407322654462243	0.04139154429880753
RRNA_PROCESSING	84	0.09667240390131956	0.058023415977961436
SIGNAL_TRANSDUCTION_IN_RESPONSE_TO_DNA_DAMAGE	83	0.07111372318542462	0.028988979396262576
SKIN_DEVELOPMENT	95	0.020156774916013438	0.03260869565217391
SODIUM_ION_TRANSPORT	39	0.020242914979757085	0.01913265306122449
SPHINGOLIPID_BIOSYNTHETIC_PROCESS	42	0.005807200929152149	0.005820721769499418
SPINDLE_ORGANIZATION	84	0.028973034997131383	0.018538913362701907
STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE	67	0.06331976481230213	0.02717391304347826
TELOMERE_MAINTENANCE	87	0.07431168136861802	0.036160249739854315
TRANSCRIPTION_INITIATION_FROM_RNA_POLYMERASE_II_PROMOTER	144	0.07692307692307693	0.08296668761785041
TRANSLATIONAL_ELONGATION	60	0.12429378531073447	0.06767148569670871
TRANSPORT_ALONG_MICROTUBULE	55	0.03164983164983165	0.014939605848696759
TRNA_AMINOACYLATION	36	0.13174603174603175	0.05263157894736842
TRNA_PROCESSING	49	0.03486394557823129	0.026850032743942372
VACUOLE_ORGANIZATION	52	0.01809954751131222	0.01384083044982699
VESICLE_ORGANIZATION	158	0.022817060388615657	0.03668654394607208
WNT_SIGNALING_PATHWAY	117	0.02844090775125258	0.021404014639015194
XENOBIOTIC_METABOLIC_PROCESS	59	0.015195791934541203	0.02220324508966695
