Geneset	Number of Genes	Edge Density	Segregation
ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	143	0.06703703338914606	0.09109067860532667
ACYLGLYCEROL_METABOLIC_PROCESS	37	0.01704654654654655	0.04756478203489956
ADHERENS_JUNCTION_ORGANIZATION	42	0.07031126596980256	0.05881758562059751
AMINO_ACID_TRANSPORT	49	0.025578231292517007	0.05371582045201292
ANTIGEN_PROCESSING_AND_PRESENTATION	123	0.11060522457683591	0.09997872411172554
APOPTOTIC_SIGNALING_PATHWAY	162	0.01784288014722797	0.03324418745693372
BMP_SIGNALING_PATHWAY	44	0.13217758985200848	0.07565723593331465
CALCIUM_ION_TRANSPORT	112	0.01890492277992278	0.02681592776611066
CAMERA_TYPE_EYE_DEVELOPMENT	23	0.0015059288537549408	0.0009575270168384015
CELL_JUNCTION_ASSEMBLY	78	0.03370929070929071	0.031160798140491844
CELL_SUBSTRATE_ADHESION	92	0.03435857620640229	0.04874946149343335
CELLULAR_RESPIRATION	89	0.2120543922369765	0.3175586221771143
CHEMICAL_SYNAPTIC_TRANSMISSION	137	0.027889008158007725	0.04057326718695924
CHLORIDE_TRANSPORT	35	0.01406890756302521	0.014385929938407382
CHONDROITIN_SULFATE_METABOLIC_PROCESS	20	0.3962315789473684	0.15629041734050525
CHROMATIN_ASSEMBLY_OR_DISASSEMBLY	102	0.23313803145020384	0.07459282141287422
DETECTION_OF_CHEMICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION	33	0.4015151515151515	0.05732065933899546
DNA_DEPENDENT_DNA_REPLICATION	69	0.11951790281329924	0.06612433466263237
DNA_TEMPLATED_TRANSCRIPTION_ELONGATION	81	0.5571660493827161	0.15331679297284082
DNA_TEMPLATED_TRANSCRIPTION_TERMINATION	71	0.3916680080482897	0.08791457040870503
DOUBLE_STRAND_BREAK_REPAIR	132	0.1767792042563035	0.1096465581774559
DRUG_TRANSPORT	52	0.005199095022624434	0.014258620012120032
ENDOPLASMIC_RETICULUM_ORGANIZATION	31	0.03491827956989247	0.023408430033490045
ENDOSOME_ORGANIZATION	49	0.13074659863945576	0.1255048501529651
ER_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT	133	0.256263613579403	0.269494381605181
ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	164	0.2862085141403561	0.2549062514971849
EXTRACELLULAR_MATRIX_ORGANIZATION	169	0.03861925894618202	0.14887988214288134
FATTY_ACID_CATABOLIC_PROCESS	50	0.006498775510204082	0.019844207640057333
GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS	176	0.00542	0.031006139340404477
GLYCOSPHINGOLIPID_METABOLIC_PROCESS	42	0.0048106852497096396	0.02840702562941931
GOLGI_ORGANIZATION	61	0.06359125683060109	0.03294951876181932
GOLGI_TO_PLASMA_MEMBRANE_TRANSPORT	24	0.03301086956521739	0.013174257059238609
G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY_COUPLED_TO_CYCLIC_NUCLEOTIDE_SECOND_MESSENGER	117	0.2924014146772767	0.14937520561114206
INSULIN_RECEPTOR_SIGNALING_PATHWAY	45	0.2771919191919192	0.09566158902398131
INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	79	0.017495942875689712	0.01433166403101946
