Geneset	Number of Genes	Edge Density	Segregation
ACTIN_FILAMENT_BASED_PROCESS	199	0.005312632302928786	0.010179228199114506
ALCOHOL_METABOLIC_PROCESS	144	0.006368926787101788	0.009109568120652556
AMIDE_BIOSYNTHETIC_PROCESS	318	0.04891227044223559	0.09005359176434993
AMINO_ACID_TRANSPORT	50	0.004844620979591837	0.002372053397981109
ANION_TRANSPORT	232	0.002860274679056575	0.006741918403294837
ANTIGEN_PROCESSING_AND_PRESENTATION	119	0.01882686812419883	0.015879080375756638
AROMATIC_COMPOUND_CATABOLIC_PROCESS	288	0.03388802846012389	0.06771069467618739
AUTOPHAGY	107	0.01469972442250044	0.01444105011536481
BICARBONATE_TRANSPORT	30	0.006495905747126437	0.0017225471755006863
CALCIUM_ION_TRANSPORT	100	0.005236290161616162	0.004198797167191622
CARBOHYDRATE_METABOLIC_PROCESS	183	0.0038900911787665892	0.006967093389930244
CARBOXYLIC_ACID_CATABOLIC_PROCESS	165	0.008583437864005913	0.01303751015503669
CARBOXYLIC_ACID_TRANSPORT	103	0.0029063900818579857	0.003155599239901895
CATION_TRANSPORT	322	0.004657388908883343	0.013336820063915062
CELL_CYCLE_PHASE_TRANSITION	151	0.04962344856512141	0.03621962334289162
CELL_DEATH	389	0.00501934529456974	0.01567249109058862
CELL_MOTILITY	358	0.0050786861274118595	0.0168382170685703
CELL_PROJECTION_ORGANIZATION	341	0.0030025899637743663	0.010014849972422949
CELLULAR_AMINO_ACID_METABOLIC_PROCESS	219	0.00898533824305643	0.015460131037441378
CELLULAR_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY	381	0.016589715631993376	0.03616301982908427
CHEMOTAXIS	167	0.007144832508477022	0.010366777041212092
CHROMATIN_ASSEMBLY_OR_DISASSEMBLY	79	0.029364673385264526	0.012624185290665679
CHROMATIN_ORGANIZATION	303	0.010539387102485084	0.022277203191592633
COENZYME_BIOSYNTHETIC_PROCESS	69	0.004467334271099744	0.0026563154904547513
COFACTOR_METABOLIC_PROCESS	262	0.004867359553683719	0.011098830480747043
CORNIFICATION	108	0.014237526375908617	0.016242950518576847
CYTOSKELETON_ORGANIZATION	374	0.004973260336052529	0.0157912104332927
DNA_CONFORMATION_CHANGE	105	0.03591812086080586	0.018909865543349204
DNA_METABOLIC_PROCESS	442	0.022942037846933647	0.05822292423660176
DNA_REPLICATION	114	0.08616492126998913	0.04244498809361424
DNA_TEMPLATED_TRANSCRIPTION_INITIATION	162	0.014969378391227667	0.014957652633242528
DRUG_METABOLIC_PROCESS	305	0.006414660446505609	0.01539278515081847
ENDOCYTOSIS	204	0.0048459030812324925	0.008870832137520527
ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS	57	0.025255059022556394	0.009462900057067902
ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY	370	0.007074544028418663	0.018930189404033147
EPITHELIAL_CELL_DIFFERENTIATION	267	0.004589885914223761	0.013185245902930588
EXTRACELLULAR_STRUCTURE_ORGANIZATION	201	0.01813213605472637	0.027733207113004112
GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY	118	0.019983053107344634	0.015861678093821777
GLYCOPROTEIN_METABOLIC_PROCESS	226	0.0035645293765978374	0.007930672278904777
GLYCOSAMINOGLYCAN_CATABOLIC_PROCESS	45	0.010142553939393941	0.003583578549149301
GLYCOSAMINOGLYCAN_METABOLIC_PROCESS	111	0.004087923947583948	0.004717494342135153
GLYCOSPHINGOLIPID_METABOLIC_PROCESS	41	0.008714708292682926	0.003916460683326912
GOLGI_VESICLE_TRANSPORT	228	0.009502672803153258	0.01667630384284084
HUMORAL_IMMUNE_RESPONSE	135	0.007457587119955776	0.010015940450915856
INNATE_IMMUNE_RESPONSE_ACTIVATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY	41	0.006637208170731707	0.0022248135591425794
INNATE_IMMUNE_RESPONSE	233	0.020012529865324848	0.03821839118220566
INOSITOL_PHOSPHATE_METABOLIC_PROCESS	42	0.0022069508710801395	0.001073835659450305
INTRACELLULAR_PROTEIN_TRANSPORT	379	0.02469588624757437	0.058436063258016493
INTRACILIARY_TRANSPORT	33	0.007238312689393939	0.0031400169837096986
ION_HOMEOSTASIS	274	0.00420917632148873	0.009854385289651735
KERATAN_SULFATE_METABOLIC_PROCESS	32	0.006128119758064516	0.00200886024969784
LIPID_BIOSYNTHETIC_PROCESS	366	0.003502156610524739	0.01221407383230351
LIPID_CATABOLIC_PROCESS	113	0.00600247488938053	0.006589217893732966
LIPID_TRANSPORT	92	0.0028769794792164356	0.0027394645100149353
MEMBRANE_LIPID_METABOLIC_PROCESS	128	0.003860238816437008	0.004950883531175067
MEMBRANE_ORGANIZATION	343	0.005638283115953149	0.015466267422694418
METHYLATION	118	0.007812976097348977	0.0067811553935477374
MICROTUBULE_BASED_MOVEMENT	89	0.00640357379979571	0.004798706951959486
MICROTUBULE_BASED_PROCESS	239	0.009414263492844835	0.017526536104076472
MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY	79	0.07161860506329114	0.034526367265721565
MITOCHONDRIAL_TRANSLATION	97	0.058948004832474234	0.02930816454748934
MITOCHONDRIAL_TRANSPORT	82	0.012126859861487505	0.006816727942944246
MITOCHONDRION_ORGANIZATION	221	0.021898137030028797	0.03161498534732014
MITOTIC_CELL_CYCLE	361	0.03599520942443828	0.0711843735030033
MONOCARBOXYLIC_ACID_METABOLIC_PROCESS	244	0.005288568687175335	0.01167023434420855
MRNA_METABOLIC_PROCESS	442	0.031405034079272726	0.0796358004781285
MUSCLE_CONTRACTION	148	0.009668974020959734	0.012744737347810212
NEGATIVE_REGULATION_OF_CATALYTIC_ACTIVITY	276	0.00325774406060606	0.007718574593005507
NEGATIVE_REGULATION_OF_CELL_CYCLE	277	0.01137263532674096	0.02106302476241224
NEGATIVE_REGULATION_OF_CELL_DIFFERENTIATION	157	0.004069063767760902	0.005549481028068341
NEGATIVE_REGULATION_OF_CELL_PROLIFERATION	272	0.004737731427718689	0.009901137123680766
NEGATIVE_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT	139	0.004691871097904286	0.005513495243173101
NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION	94	0.005723933104552734	0.0049906560568220674
NEGATIVE_REGULATION_OF_PHOSPHORYLATION	163	0.004014671241384534	0.005462576966157681
NEGATIVE_REGULATION_OF_PROGRAMMED_CELL_DEATH	324	0.005678622281466193	0.013205609926056381
NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	348	0.005693364556626586	0.01626904196136051
NEGATIVE_REGULATION_OF_TRANSPORT	151	0.0031182783399558503	0.004185673935334114
NEUROGENESIS	302	0.004411092464412223	0.011761740024717748
NEURON_PROJECTION_DEVELOPMENT	120	0.005289907899159664	0.005317769400694393
NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	413	0.009835478706598651	0.031230014832367533
NICOTINAMIDE_NUCLEOTIDE_METABOLIC_PROCESS	47	0.0060847414431082335	0.0023684991617984232
NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY	44	0.03781177093023256	0.009367601547001083
NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	148	0.11485156731016732	0.10153937711310217
NUCLEOTIDE_METABOLIC_PROCESS	235	0.0063495899145299154	0.011291652262084027
ORGANELLE_ASSEMBLY	299	0.003491040367219591	0.00996439613995096
ORGANELLE_LOCALIZATION	254	0.0077701218076001366	0.014392636987476615
OXIDATION_REDUCTION_PROCESS	211	0.009852089862333558	0.01654607261561051
PHOSPHATIDYLCHOLINE_METABOLIC_PROCESS	59	0.002454691934541204	0.001513718272951206
PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS	105	0.004345600311355312	0.00416157562129874
PHOSPHOLIPID_METABOLIC_PROCESS	228	0.0029576928317489757	0.006566213088295779
PLATELET_DEGRANULATION	96	0.009858991820175439	0.008095041620814427
POSITIVE_REGULATION_OF_CELL_ACTIVATION	97	0.010908251761168386	0.008854727192050589
POSITIVE_REGULATION_OF_CELL_DEATH	263	0.0049162023568339475	0.010572376888705019
POSITIVE_REGULATION_OF_CELL_PROLIFERATION	372	0.004809945945280121	0.01389309828153651
POSITIVE_REGULATION_OF_HYDROLASE_ACTIVITY	230	0.00479171025631289	0.008207535910536062
POSITIVE_REGULATION_OF_IMMUNE_RESPONSE	326	0.006954329617744221	0.0197645330549786
POSITIVE_REGULATION_OF_ORGANELLE_ORGANIZATION	236	0.006316715012621709	0.010382419248646056
POSITIVE_REGULATION_OF_PROTEOLYSIS	134	0.005154940062843676	0.005452165269612438
POSTTRANSCRIPTIONAL_REGULATION_OF_GENE_EXPRESSION	226	0.013094365620452311	0.018477999868895475
POST_TRANSLATIONAL_PROTEIN_MODIFICATION	318	0.013018716062535959	0.0282131691057305
PROTEIN_CATABOLIC_PROCESS	269	0.009833027692393054	0.017936747551664377
PROTEIN_COMPLEX_OLIGOMERIZATION	217	0.004171753810377197	0.006971899178898298
PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY	158	0.027938964347335324	0.024986504036863307
PROTEIN_CONTAINING_COMPLEX_LOCALIZATION	139	0.024179355249713274	0.019156977364807173
PROTEIN_LOCALIZATION_TO_MEMBRANE	210	0.053055537133743454	0.08184922547021943
PROTEIN_LOCALIZATION_TO_ORGANELLE	367	0.022742715229076397	0.055482440185894516
PROTEIN_MATURATION	114	0.004162375671479584	0.004031741488030167
PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	349	0.008632534230807233	0.024550117988855494
PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_REMOVAL	209	0.0310376639354067	0.035164888478747096
PROTEIN_N_LINKED_GLYCOSYLATION	46	0.012490054009661836	0.005180215844979989
PROTEIN_O_LINKED_GLYCOSYLATION	84	0.0031119345094664367	0.0027409784815606753
PROTEOGLYCAN_METABOLIC_PROCESS	49	0.0062526776360544226	0.002845616206028246
REGULATION_OF_AUTOPHAGY	147	0.004991805991985836	0.006453908660317512
REGULATION_OF_CELL_ADHESION	245	0.005725135038474407	0.012073594201372929
REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION	77	0.0185778000683527	0.008977713726909838
REGULATION_OF_CELL_PROJECTION_ORGANIZATION	160	0.0032237726415094334	0.004889276263106233
REGULATION_OF_CELLULAR_LOCALIZATION	290	0.004815447548025294	0.010442350231820616
REGULATION_OF_CELLULAR_RESPONSE_TO_STRESS	298	0.005783090097846474	0.012538946102119
REGULATION_OF_CYTOKINE_PRODUCTION	277	0.0051307529325589915	0.012484786613385966
REGULATION_OF_CYTOSKELETON_ORGANIZATION	192	0.004819148342059337	0.0074769007263924174
REGULATION_OF_DEPHOSPHORYLATION	94	0.001955345687485701	0.0019379459491152386
REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	251	0.004403637185657372	0.008527941442888405
REGULATION_OF_GENE_EXPRESSION_EPIGENETIC	123	0.016242092536318805	0.012728713206073987
REGULATION_OF_INFLAMMATORY_RESPONSE	147	0.0067883185071288795	0.009630823648596612
REGULATION_OF_INNATE_IMMUNE_RESPONSE	197	0.007079081565316481	0.010927746283456816
REGULATION_OF_ION_TRANSPORT	178	0.004720414943185426	0.007261181608131884
REGULATION_OF_KINASE_ACTIVITY	320	0.004419090722962383	0.01117942119379444
REGULATION_OF_LIPID_METABOLIC_PROCESS	178	0.005302103453310479	0.008785679507096565
REGULATION_OF_MAPK_CASCADE	267	0.004876153704485934	0.010700556732709341
REGULATION_OF_MICROTUBULE_BASED_PROCESS	93	0.007584573889668069	0.005289421399916392
REGULATION_OF_MITOTIC_CELL_CYCLE	283	0.013959804696388745	0.024976999940914124
REGULATION_OF_PROTEIN_CATABOLIC_PROCESS	159	0.00573460368601226	0.006696857373312142
REGULATION_OF_PROTEIN_PROCESSING	93	0.009188940977092098	0.008753689362238068
REGULATION_OF_RESPONSE_TO_DNA_DAMAGE_STIMULUS	108	0.008776901280719972	0.006684160198590753
REGULATION_OF_SECRETION	239	0.003913809352695053	0.008295356069373901
REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR	68	0.013553596707638279	0.0062414974173428716
REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	167	0.004354795072505592	0.006951062578686183
RESPONSE_TO_BACTERIUM	112	0.006228486969111969	0.006049282568130877
RESPONSE_TO_DRUG	218	0.004094958800152201	0.007095512659174873
RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	137	0.012176962376556463	0.013063694686004466
RESPONSE_TO_TYPE_I_INTERFERON	60	0.13243599779661017	0.05358107037628317
RESPONSE_TO_UNFOLDED_PROTEIN	79	0.01660869341123012	0.009950622660231664
RESPONSE_TO_WOUNDING	217	0.005784033094384707	0.009899473722722759
RESPONSE_TO_XENOBIOTIC_STIMULUS	88	0.00872338934169279	0.006913227008173652
RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	208	0.033201858509847644	0.03575443854150231
RIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS	60	0.007323532372881356	0.0030167506722739556
RNA_BIOSYNTHETIC_PROCESS	452	0.009344863309656025	0.02662025779061994
RNA_MODIFICATION	75	0.009361632540540541	0.005519413330094807
RNA_SPLICING	257	0.03980290559338521	0.0495234920385704
RRNA_PROCESSING	102	0.04256290118423608	0.023187680633175323
SEXUAL_REPRODUCTION	124	0.0037766984264358777	0.004458750384069845
SIGNAL_TRANSDUCTION_BY_PROTEIN_PHOSPHORYLATION	181	0.007424081602209944	0.009995174799873599
SPHINGOLIPID_BIOSYNTHETIC_PROCESS	52	0.00358687790346908	0.001966850218726951
STEROID_METABOLIC_PROCESS	138	0.008446566465672274	0.01060231130605164
SULFUR_COMPOUND_METABOLIC_PROCESS	227	0.0040152660675997045	0.008253369256072203
TRANSMEMBRANE_TRANSPORT	403	0.003311757854647358	0.012626753345242384
TRNA_PROCESSING	57	0.01556575739348371	0.006718489623813863
VESICLE_LOCALIZATION	94	0.012050839258750858	0.00887126060794849
VESICLE_ORGANIZATION	146	0.008181628266414739	0.00995786704792883
VITAMIN_METABOLIC_PROCESS	90	0.003577811585518102	0.002778503180263043
