Geneset	Number of Genes	Edge Density	Segregation
ACTIN_FILAMENT_BASED_PROCESS	196	0.03634479330193616	0.10765988263498079
ALCOHOL_METABOLIC_PROCESS	140	0.008526927029804728	0.03352762845987163
AMIDE_BIOSYNTHETIC_PROCESS	315	0.1437531493276716	0.3738118756645532
AMINO_ACID_TRANSPORT	49	0.009342687074829933	0.023220475103559048
ANION_TRANSPORT	220	0.0015905354919053547	0.014861888696415781
ANTIGEN_PROCESSING_AND_PRESENTATION	115	0.12500701754385965	0.12265960646046585
AROMATIC_COMPOUND_CATABOLIC_PROCESS	280	0.1042173323092678	0.24541757224806243
AUTOPHAGY	106	0.06130566037735849	0.12382653411212932
BICARBONATE_TRANSPORT	29	0.008785714285714286	0.034443800695249126
CALCIUM_ION_TRANSPORT	99	0.01563162234590806	0.0234580237212842
CARBOHYDRATE_METABOLIC_PROCESS	177	0.010191127375449409	0.06130361271017754
CARBOXYLIC_ACID_CATABOLIC_PROCESS	162	0.00207637451115712	0.017174486772829064
CARBOXYLIC_ACID_TRANSPORT	98	0.0029530822638333684	0.009074552139560346
CATION_TRANSPORT	309	0.010655802126675915	0.08366025818071085
CELL_CYCLE_PHASE_TRANSITION	151	0.09362472406181017	0.10158528809723757
CELL_DEATH	375	0.004241639928698753	0.03233406054033631
CELL_MOTILITY	327	0.008535262002589068	0.04444285101351326
CELL_PROJECTION_ORGANIZATION	339	0.0448939100382259	0.19775260113687035
CELLULAR_AMINO_ACID_METABOLIC_PROCESS	215	0.005341795261899587	0.03823830233985878
CELLULAR_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY	378	0.042874742116121425	0.12390976523836221
CHEMOTAXIS	163	0.047791941225479063	0.06778438019161266
CHROMATIN_ASSEMBLY_OR_DISASSEMBLY	79	0.16496429730606946	0.0755508543294264
CHROMATIN_ORGANIZATION	300	0.03501966555183947	0.10089265634494027
COENZYME_BIOSYNTHETIC_PROCESS	66	0.0075589743589743585	0.016669048350932098
COFACTOR_METABOLIC_PROCESS	253	0.00416704310182571	0.04289553326125793
CORNIFICATION	101	0.012714257425742573	0.09219884634770102
CYTOSKELETON_ORGANIZATION	368	0.007719523753109823	0.04371697068072002
DNA_CONFORMATION_CHANGE	104	0.09671303211351755	0.06996196085549987
DNA_METABOLIC_PROCESS	439	0.04706059849595907	0.18028348772180786
DNA_REPLICATION	112	0.12945157657657658	0.13784995655522692
DNA_TEMPLATED_TRANSCRIPTION_INITIATION	161	0.14155170807453415	0.12860780209257336
DRUG_METABOLIC_PROCESS	299	0.006413256717020942	0.05572029258336236
ENDOCYTOSIS	172	0.05297021623827009	0.09083910197819767
ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS	57	0.036750000000000005	0.03818624297838764
ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY	364	0.033793479248024706	0.10999814994601341
EPITHELIAL_CELL_DIFFERENTIATION	210	0.003942948279790384	0.03577976719664234
EXTRACELLULAR_STRUCTURE_ORGANIZATION	199	0.02537536165676869	0.1600596285510108
GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY	117	0.02005997642204539	0.036220317403723216
GLYCOPROTEIN_METABOLIC_PROCESS	220	0.03263985056039851	0.2636631041864509
GLYCOSAMINOGLYCAN_CATABOLIC_PROCESS	43	0.02805094130675526	0.025595786648558633
GLYCOSAMINOGLYCAN_METABOLIC_PROCESS	109	0.1263504926945294	0.36864413920957284
GLYCOSPHINGOLIPID_METABOLIC_PROCESS	40	0.008974358974358974	0.055574521463674115
GOLGI_VESICLE_TRANSPORT	228	0.12941807713115389	0.35368211241855707
HUMORAL_IMMUNE_RESPONSE	103	0.018587664191890348	0.04518356212560476
INNATE_IMMUNE_RESPONSE_ACTIVATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY	37	0.03329429429429429	0.013594415094987402
INNATE_IMMUNE_RESPONSE	227	0.016660013254843863	0.06994499278529508
INOSITOL_PHOSPHATE_METABOLIC_PROCESS	42	0.0026608594657375143	0.004195878478861272
INTRACELLULAR_PROTEIN_TRANSPORT	377	0.09050167898865623	0.24010712442162058
INTRACILIARY_TRANSPORT	33	0.7142859848484849	0.3579548312697835
ION_HOMEOSTASIS	267	0.019976626960660077	0.06301267359596734
KERATAN_SULFATE_METABOLIC_PROCESS	32	0.29435483870967744	0.27157232938375414
LIPID_BIOSYNTHETIC_PROCESS	352	0.005046166796166795	0.06943765063327234
LIPID_CATABOLIC_PROCESS	110	0.004805671392827355	0.025491559736607845
LIPID_TRANSPORT	89	0.004469867211440245	0.01200599751155399
MEMBRANE_LIPID_METABOLIC_PROCESS	121	0.007437465564738292	0.07497007916871455
MEMBRANE_ORGANIZATION	339	0.06785119826848893	0.25030295748318476
METHYLATION	116	0.012801649175412294	0.022685265748933658
MICROTUBULE_BASED_MOVEMENT	89	0.10410980592441266	0.14644117913284851
MICROTUBULE_BASED_PROCESS	238	0.026116370598872462	0.08460343975422094
MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY	78	0.44368131868131866	0.6984938901607709
MITOCHONDRIAL_TRANSLATION	96	0.8192782894736842	0.8369348619863941
MITOCHONDRION_ORGANIZATION	219	0.06365820451593984	0.28956676603551845
MITOTIC_CELL_CYCLE	360	0.03185657691117302	0.10813455428742574
MONOCARBOXYLIC_ACID_METABOLIC_PROCESS	240	0.015464504881450488	0.13473487102699952
MRNA_METABOLIC_PROCESS	439	0.1960366857012097	0.47290644856200065
MUSCLE_CONTRACTION	145	0.08329128352490421	0.14895298280762928
NEGATIVE_REGULATION_OF_CATALYTIC_ACTIVITY	273	0.0024139463477698773	0.0108409190535034
NEGATIVE_REGULATION_OF_CELL_CYCLE	272	0.01922712719774257	0.05617103369730943
NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION	92	0.019717869087434305	0.031600358963599806
NEGATIVE_REGULATION_OF_PROGRAMMED_CELL_DEATH	319	0.004271248595256403	0.021045898851413967
NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	345	0.009685557802494103	0.04915832109666131
NEGATIVE_REGULATION_OF_TRANSPORT	146	0.0025181861124232404	0.007619528403932481
NEUROGENESIS	295	0.009417295053614666	0.04859199801053867
NEURON_PROJECTION_DEVELOPMENT	119	0.033603475288420455	0.06605894934547238
NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	401	0.004498753117206983	0.02932406168488675
NICOTINAMIDE_NUCLEOTIDE_METABOLIC_PROCESS	44	0.006493657505285412	0.012265834967313736
NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY	43	0.22733776301218162	0.09776464212271846
NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	146	0.37840878601794986	0.26464509690719706
NUCLEOTIDE_METABOLIC_PROCESS	229	0.004937830383819811	0.034608851276739495
ORGANELLE_ASSEMBLY	295	0.056272915946039434	0.20191147245882105
ORGANELLE_LOCALIZATION	252	0.10225140707013217	0.21952894798564487
OXIDATION_REDUCTION_PROCESS	210	0.010783185235816815	0.06434035347402618
PHOSPHATIDYLCHOLINE_METABOLIC_PROCESS	50	0.001750204081632653	0.010165328832267333
PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS	102	0.01002057852844108	0.04167426959415708
PHOSPHOLIPID_METABOLIC_PROCESS	217	0.0025524833589349715	0.031881198566785035
PLATELET_DEGRANULATION	94	0.006611988103408831	0.011985561423254834
POSITIVE_REGULATION_OF_CELL_DEATH	257	0.005441877431906615	0.020278113828211035
POSITIVE_REGULATION_OF_CELL_PROLIFERATION	362	0.0060023568662861005	0.029792647126073008
POSITIVE_REGULATION_OF_HYDROLASE_ACTIVITY	221	0.008764459070341422	0.025420102072213638
POSITIVE_REGULATION_OF_IMMUNE_RESPONSE	288	0.024768679829655436	0.10054313368600631
POSITIVE_REGULATION_OF_ORGANELLE_ORGANIZATION	230	0.007857034364913612	0.02201330192188045
POSITIVE_REGULATION_OF_PROTEOLYSIS	131	0.008285143863769818	0.014130807515919887
POSTTRANSCRIPTIONAL_REGULATION_OF_GENE_EXPRESSION	225	0.021822777777777778	0.053155480170964685
POST_TRANSLATIONAL_PROTEIN_MODIFICATION	316	0.04595989551938919	0.18146820789529952
PROTEIN_CATABOLIC_PROCESS	268	0.029081698250321423	0.08392188385205147
PROTEIN_COMPLEX_OLIGOMERIZATION	210	0.004096286169970381	0.012405627432068387
PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY	157	0.3095650824759105	0.4893072058613598
PROTEIN_CONTAINING_COMPLEX_LOCALIZATION	138	0.2997632497619803	0.2113627204328962
PROTEIN_LOCALIZATION_TO_MEMBRANE	208	0.12948601820884428	0.20625075006662763
PROTEIN_LOCALIZATION_TO_ORGANELLE	364	0.043970166197438924	0.14747176294806544
PROTEIN_MATURATION	113	0.007076011378002529	0.02201292645528319
PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	348	0.0611354135612309	0.22985636849213295
PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_REMOVAL	208	0.07221632292827945	0.15436570005469952
PROTEIN_N_LINKED_GLYCOSYLATION	46	0.026002898550724643	0.04207240148636122
PROTEIN_O_LINKED_GLYCOSYLATION	81	0.16392345679012343	0.5727596448129276
PROTEOGLYCAN_METABOLIC_PROCESS	49	0.1567312925170068	0.2157074778342649
REGULATION_OF_AUTOPHAGY	146	0.020205668398677375	0.05490689084984421
REGULATION_OF_CELL_ADHESION	238	0.006968797645640535	0.03177115958322996
REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION	77	0.25035099111414905	0.1136599658117219
REGULATION_OF_CELLULAR_LOCALIZATION	286	0.00528087351245246	0.01889820004263955
REGULATION_OF_CELLULAR_RESPONSE_TO_STRESS	294	0.005368623900071974	0.024458639257601073
REGULATION_OF_CYTOKINE_PRODUCTION	265	0.008345082904516866	0.03876219024281294
REGULATION_OF_CYTOSKELETON_ORGANIZATION	189	0.00905769447258809	0.024932331199848768
REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	244	0.004467550428388315	0.016837490911924716
REGULATION_OF_GENE_EXPRESSION_EPIGENETIC	122	0.10502479338842977	0.07439219284459248
REGULATION_OF_INFLAMMATORY_RESPONSE	116	0.02470704647676162	0.05032043413420494
REGULATION_OF_INNATE_IMMUNE_RESPONSE	190	0.020418323586744638	0.05889444026498167
REGULATION_OF_KINASE_ACTIVITY	310	0.007002839544837666	0.028713405284997252
REGULATION_OF_LIPID_METABOLIC_PROCESS	177	0.011655688238315358	0.03155162007295407
REGULATION_OF_MAPK_CASCADE	257	0.00873191269455253	0.03233614324018188
