Geneset	Number of Genes	Edge Density	Segregation
ACTIN_FILAMENT_BASED_PROCESS	184	0.08832246376811594	0.04160471412859215
ALCOHOL_METABOLIC_PROCESS	130	0.07215968992248062	0.03928495880805605
AMIDE_BIOSYNTHETIC_PROCESS	300	0.1801271125975474	0.15082707225658934
AMINO_ACID_TRANSPORT	46	0.1437342995169082	0.033395575661468765
ANION_TRANSPORT	213	0.04082744264328107	0.040981439778264996
ANTIGEN_PROCESSING_AND_PRESENTATION	96	0.10911973684210527	0.03026189929412864
AROMATIC_COMPOUND_CATABOLIC_PROCESS	270	0.11672474184221397	0.09171154692408957
BICARBONATE_TRANSPORT	27	0.1278860398860399	0.018746090040367074
CALCIUM_ION_TRANSPORT	92	0.08594577161968467	0.03039700147199051
CARBOHYDRATE_METABOLIC_PROCESS	172	0.04567734258125935	0.03696955037315947
CARBOXYLIC_ACID_CATABOLIC_PROCESS	157	0.075005226196309	0.04954704389094528
CARBOXYLIC_ACID_TRANSPORT	95	0.06461903695408736	0.029179806179273304
CATION_TRANSPORT	304	0.05792326732673267	0.07910663261316543
CELL_CYCLE_PHASE_TRANSITION	144	0.13257847707847706	0.04294710519638302
CELL_DEATH	363	0.022531360820662674	0.026863498734907114
CELL_MOTILITY	312	0.033761130348750924	0.03205117543186033
CELL_PROJECTION_ORGANIZATION	316	0.031363833634719715	0.0392152596890691
CELLULAR_AMINO_ACID_METABOLIC_PROCESS	203	0.08790059991220797	0.06023755219403979
CELLULAR_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY	348	0.04472171983172679	0.052796397013416596
CHEMOTAXIS	153	0.06779368765049879	0.02802584205868999
CHROMATIN_ASSEMBLY_OR_DISASSEMBLY	72	0.16175312989045382	0.03403942912959255
CHROMATIN_ORGANIZATION	276	0.0952234255599473	0.06746832540916248
COENZYME_BIOSYNTHETIC_PROCESS	65	0.06606298076923077	0.01743180100109391
COFACTOR_METABOLIC_PROCESS	249	0.04582413525068014	0.04339960339128094
CORNIFICATION	97	0.0689641323024055	0.051223063770837594
CYTOSKELETON_ORGANIZATION	347	0.025298745648081822	0.03184384209540168
DNA_CONFORMATION_CHANGE	97	0.1116237113402062	0.02976430293820266
DNA_METABOLIC_PROCESS	417	0.07578093294595094	0.09188396035611729
DNA_REPLICATION	108	0.19970110764970578	0.05954065776757509
DNA_TEMPLATED_TRANSCRIPTION_INITIATION	144	0.20189005439005436	0.0615897160646712
DRUG_METABOLIC_PROCESS	290	0.04610955733206062	0.05010769718423573
ENDOCYTOSIS	161	0.05030838509316771	0.0247225810055299
ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS	54	0.13475262054507336	0.02511541072464025
ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY	342	0.059262266124744896	0.048822448253828185
EPITHELIAL_CELL_DIFFERENTIATION	231	0.025597741389045733	0.03109941881473588
EXTRACELLULAR_STRUCTURE_ORGANIZATION	188	0.13477909887359202	0.07984194500030034
GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY	112	0.09692905405405407	0.036492100528117355
GLYCOPROTEIN_METABOLIC_PROCESS	205	0.067757006217121	0.10495428581291591
GLYCOSAMINOGLYCAN_CATABOLIC_PROCESS	44	0.23579915433403809	0.03966298218272111
GLYCOSAMINOGLYCAN_METABOLIC_PROCESS	106	0.16251572327044025	0.09706142354679652
GOLGI_VESICLE_TRANSPORT	209	0.06048652005888847	0.04940677188083567
HUMORAL_IMMUNE_RESPONSE	96	0.034742982456140346	0.020229722553188435
INNATE_IMMUNE_RESPONSE	203	0.07607008730429692	0.04685106299508141
INTRACELLULAR_PROTEIN_TRANSPORT	355	0.09098575634598552	0.09043440082473855
INTRACILIARY_TRANSPORT	32	0.29495967741935486	0.05449215767341209
ION_HOMEOSTASIS	254	0.03868796489371634	0.03541599981196302
KERATAN_SULFATE_METABOLIC_PROCESS	31	0.38098279569892474	0.054412489653128324
LIPID_BIOSYNTHETIC_PROCESS	336	0.05077976190476191	0.0752898452963253
LIPID_CATABOLIC_PROCESS	107	0.07215111973196968	0.03148888043546603
LIPID_TRANSPORT	86	0.07603228454172366	0.027998402094807372
MEMBRANE_LIPID_METABOLIC_PROCESS	119	0.10885614584816977	0.08326717425848192
MEMBRANE_ORGANIZATION	317	0.031180769077187243	0.03530845475296543
METHYLATION	111	0.05633529893529893	0.02031281644000568
MICROTUBULE_BASED_MOVEMENT	86	0.10638440492476062	0.037971404090894285
MICROTUBULE_BASED_PROCESS	221	0.03789313039901275	0.03749008347160071
MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY	72	0.3144182316118936	0.1351284821327235
MITOCHONDRIAL_TRANSLATION	92	0.30035499283325373	0.10806705062283861
MITOCHONDRIAL_TRANSPORT	73	0.07972108066971081	0.020298723277187684
MITOCHONDRION_ORGANIZATION	203	0.07258708481685607	0.05699756759804063
