Geneset	Number of Genes	Edge Density	Segregation
EUR_ASN_CAD_CAD_ADD_160614	54	0.0024702912648497553	0.0011945637020552527
EUR_BMI_ENGAGE1000G_BMI	30	0.004095280689655172	0.0011675060214887097
EUR_BPSCZ	35	0.005775177142857143	0.002395840226417345
EUR_CARDIOGRAM_2010_LIPIDS_LDL_ONE	135	0.0030082102487562186	0.0037334718880557894
EUR_DIAGRAM_GAULTON_2015	37	0.004030724474474475	0.0011776057496671632
EUR_DIAGRAM_METABOCHIP_T2D	51	0.002955277490196078	0.0014554246249033297
EUR_FRITSCHE_2015_ADVANCEDAMD	113	0.0041935946586599245	0.004296920701649712
EUR_GIANT_2015_HIPADJBMI_COMBINED_EUR	110	0.004563922001668057	0.005124142600283458
EUR_GIANT_2015_HIPADJBMI_FEMALES_EUR	51	0.0038203761568627453	0.0021246048264652643
EUR_GIANT_2015_HIP_COMBINED_EUR	50	0.0018773235918367348	0.0010531864959484598
EUR_GIANT_2015_WCADJBMI_COMBINED_EUR	66	0.0026694511888111882	0.0020221405830176814
EUR_GIANT_BMI_SNP_GWAS_MC_MERGE_NOGC_TBL_UNIQ	70	0.00363934579710145	0.002213442085899325
EUR_GIANT_EXTREME_HEIGHT_STAGE1_BERNDT2013_PUBLICRELEASE_HAPMAPCEUFREQ	83	0.004117862503673229	0.0029874423929269977
EUR_GIANT_HEIGHT_LANGOALLEN2010_PUBLICRELEASE_HAPMAPCEUFREQ_EQTL	337	0.002798822486576233	0.008925658600663093
EUR_GIANT_RANDALL2013PLOSGENET_STAGE1_PUBLICRELEASE_HAPMAPCEUFREQ_HEIGHT_MEN	64	0.003912809126984127	0.0024523336985513644
EUR_GIANT_RANDALL2013PLOSGENET_STAGE1_PUBLICRELEASE_HAPMAPCEUFREQ_HEIGHT_WOMEN	123	0.003807441543382647	0.0047870518342019094
EUR_GLGC_JOINTGWASMC_HDL	210	0.0032377267669172934	0.0066284597955541735
EUR_GLGC_JOINTGWASMC_TC	225	0.003398809432539682	0.006594322447577192
EUR_GLGC_JOINTGWASMC_TG	148	0.0035552633756205185	0.004809203822471333
EUR_GLGC_MC_TC	163	0.0030112843974854204	0.004332137841965315
EUR_HR_META_STAGE1_GWASHR_SUMSTATS	25	0.003543568	0.0007551566313646284
EUR_IBDGENETICS_CD	162	0.004021630695498811	0.006335336942002462
EUR_IBDGENETICS_UC	117	0.005186345225464192	0.005669687221521633
EUR_IBD_GWAS_ICHIP_META_RELEASE_CD_ICHIP_P	244	0.0028152113033798826	0.006643181271647768
EUR_IBD_GWAS_ICHIP_META_RELEASE_IBD_GWAS_P	302	0.003644053721590284	0.009900140253765568
EUR_IBD_GWAS_ICHIP_META_RELEASE_UC_GWAS_P	153	0.0033741208634330924	0.004752635121691542
EUR_IBD_GWAS_ICHIP_META_RELEASE_UC_ICHIP_P	119	0.003928968537245407	0.0041557817697267215
EUR_IBD_GWAS_ICHIP_META_RELEASE_UC_META_P	431	0.0029825566341121247	0.01178676108070645
EUR_IGAP_STAGE_1	37	0.009488666516516517	0.0026062873608094896
EUR_MAGIC_MANNING_ET_AL_FASTINGGLUCOSE_MAINEFFECT_BMIADJ	46	0.010026793043478262	0.0031446427864190254
EUR_MAGIC_SCOTT_ET_AL_FG_JAN2013	113	0.0031309000790139064	0.003134752336430827
EUR_NEUROTICISM_FULL	50	0.0021689788571428574	0.0010774016043417882
EUR_OKADA2014_RA_GWASMETA_EUROPEAN_V2	166	0.007157230799561885	0.01098902937563282
EUR_PGC_SCZ2_2014	401	0.003064795264339152	0.011850419474939039
EUR_PGC_SCZ_FULL_2012_04	37	0.007895406006006005	0.004085254488981285
EUR_PHS000180_T1D_PHS000180_PHA002862	142	0.0068198220956947365	0.00942804010435795
EUR_SCZ_SWE_PGC1_RESULTS_V3	97	0.003973485953608248	0.0036956284703059806
