Geneset	Number of Genes	Edge Density	Segregation
EUR_ASN_CAD_CAD_ADD_160614	43	0.0241218161683278	0.0037752670955540192
EUR_BMI_ENGAGE1000G_BMI	24	0.0401231884057971	0.003869380287684267
EUR_BPSCZ	26	0.06700923076923077	0.005179746330854454
EUR_CARDIOGRAM_2010_LIPIDS_LDL_ONE	113	0.0313655183312263	0.013231275436395568
EUR_FRITSCHE_2015_ADVANCEDAMD	60	0.014980225988700564	0.0045497123205660555
EUR_GIANT_2015_HIPADJBMI_COMBINED_EUR	87	0.03199064421277733	0.009825763209098523
EUR_GIANT_2015_HIPADJBMI_FEMALES_EUR	41	0.022252439024390242	0.003472117169445293
EUR_GIANT_2015_HIP_COMBINED_EUR	43	0.015842746400885937	0.0027898539490201282
EUR_GIANT_2015_WCADJBMI_COMBINED_EUR	55	0.019133333333333332	0.004231588983779727
EUR_GIANT_BMI_SNP_GWAS_MC_MERGE_NOGC_TBL_UNIQ	62	0.030496562665256476	0.007684707007969339
EUR_GIANT_EXTREME_HEIGHT_STAGE1_BERNDT2013_PUBLICRELEASE_HAPMAPCEUFREQ	70	0.018324223602484473	0.004761660354262885
EUR_GIANT_HEIGHT_LANGOALLEN2010_PUBLICRELEASE_HAPMAPCEUFREQ_EQTL	278	0.012772095680856035	0.012304458200524651
EUR_GIANT_RANDALL2013PLOSGENET_STAGE1_PUBLICRELEASE_HAPMAPCEUFREQ_HEIGHT_MEN	56	0.02098181818181818	0.00429587107387869
EUR_GIANT_RANDALL2013PLOSGENET_STAGE1_PUBLICRELEASE_HAPMAPCEUFREQ_HEIGHT_WOMEN	98	0.014250578581948245	0.005091925366941808
EUR_GLGC_JOINTGWASMC_HDL	186	0.018982679453647195	0.013464446752303154
EUR_GLGC_JOINTGWASMC_TC	175	0.0223992118226601	0.0155079242169505
EUR_GLGC_JOINTGWASMC_TG	123	0.026672664267626284	0.013159132826133287
EUR_GLGC_MC_TC	140	0.028357245632065774	0.015476027682702736
EUR_IBDGENETICS_CD	131	0.025819847328244275	0.010771653642066914
EUR_IBDGENETICS_UC	92	0.01810487338748208	0.006373731952222113
EUR_IBD_GWAS_ICHIP_META_RELEASE_CD_ICHIP_P	216	0.022895779500430664	0.01594470996967253
EUR_IBD_GWAS_ICHIP_META_RELEASE_IBD_GWAS_P	270	0.020626655651934465	0.01743386272694765
EUR_IBD_GWAS_ICHIP_META_RELEASE_UC_GWAS_P	132	0.01995732130464955	0.00910628805204408
EUR_IBD_GWAS_ICHIP_META_RELEASE_UC_ICHIP_P	107	0.026277023452653852	0.00819616768920069
EUR_IBD_GWAS_ICHIP_META_RELEASE_UC_META_P	373	0.014847084090057366	0.018815585557310374
EUR_IGAP_STAGE_1	29	0.054224137931034484	0.0053754304128984945
EUR_KATHIRESAN2009_TG	40	0.07993333333333333	0.012914194387333868
EUR_MAGIC_MANNING_ET_AL_FASTINGGLUCOSE_MAINEFFECT_BMIADJ	41	0.041959756097560974	0.005929657888709524
EUR_MAGIC_SCOTT_ET_AL_FG_JAN2013	95	0.025567749160134382	0.008535877228124907
EUR_NEUROTICISM_FULL	33	0.037776515151515144	0.005177124305490305
EUR_OKADA2014_RA_GWASMETA_EUROPEAN_V2	90	0.034797752808988766	0.00898819548391628
EUR_PGC_SCZ2_2014	237	0.011746013015804907	0.011308010184503694
EUR_PGC_SCZ_FULL_2012_04	25	0.11805666666666667	0.008111607956736867
EUR_PHS000180_T1D_PHS000180_PHA002862	73	0.03297222222222222	0.006838676805101771
EUR_SCZ_SWE_PGC1_RESULTS_V3	41	0.03440609756097561	0.004847321319348326
