Geneset	Number of Genes	Edge Density	Segregation
KEGG_ABC_TRANSPORTERS	36	0.006717460317460318	0.01996876341828237
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	31	0.004965591397849463	0.012579404425945498
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	37	0.07524924924924925	0.1298264611176018
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	40	0.005292307692307692	0.02135441184838782
KEGG_ARACHIDONIC_ACID_METABOLISM	40	0.00443076923076923	0.03324867236204111
KEGG_ARGININE_AND_PROLINE_METABOLISM	46	0.0033449275362318837	0.012764027710696789
KEGG_AXON_GUIDANCE	101	0.01959128712871287	0.0678541276167314
KEGG_BASAL_TRANSCRIPTION_FACTORS	30	0.23728045977011494	0.20250777917731028
KEGG_BUTANOATE_METABOLISM	22	0.011805194805194805	0.01948274630277917
KEGG_CALCIUM_SIGNALING_PATHWAY	140	0.009362692702980471	0.05148220651429421
KEGG_CARDIAC_MUSCLE_CONTRACTION	66	0.014354778554778555	0.07163546433581727
KEGG_CELL_ADHESION_MOLECULES_CAMS	99	0.012547515976087404	0.07959368878590467
KEGG_CHEMOKINE_SIGNALING_PATHWAY	122	0.025686763311204442	0.08178056062866054
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	29	0.021519704433497537	0.025252904792184522
KEGG_DNA_REPLICATION	34	0.1485793226381462	0.10887917915760455
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	49	0.028899659863945576	0.3010701250841572
KEGG_ECM_RECEPTOR_INTERACTION	75	0.029112792792792788	0.11012060542615365
KEGG_ENDOCYTOSIS	154	0.025223240811476103	0.08031639505325278
KEGG_FATTY_ACID_METABOLISM	34	0.005901960784313726	0.019862623354029826
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	62	0.04133632998413538	0.05562481942766217
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	30	0.012480459770114942	0.0375218572248063
KEGG_GLUTATHIONE_METABOLISM	42	0.010634146341463415	0.04442331204999322
KEGG_GLYCEROLIPID_METABOLISM	33	0.0	0.0
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	56	0.000374025974025974	0.003443431475115828
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	28	0.001029100529100529	0.0024571421352501998
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	50	0.012607346938775509	0.04387450142612014
KEGG_HEDGEHOG_SIGNALING_PATHWAY	47	0.02055781683626272	0.043562380670479975
KEGG_HISTIDINE_METABOLISM	20	0.003057894736842105	0.021358723623262993
KEGG_INSULIN_SIGNALING_PATHWAY	100	0.022169696969696968	0.04528791501025725
KEGG_JAK_STAT_SIGNALING_PATHWAY	129	0.03241739341085271	0.11506169930942686
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	76	0.026400701754385962	0.04343115473351791
KEGG_LYSINE_DEGRADATION	34	0.003884135472370766	0.0073027682820564375
KEGG_LYSOSOME	106	0.008737286612758311	0.06961318531541616
KEGG_MELANOGENESIS	70	0.018373498964803312	0.02914095521807775
KEGG_N_GLYCAN_BIOSYNTHESIS	36	0.009133333333333332	0.03832703874667785
KEGG_NOTCH_SIGNALING_PATHWAY	40	0.08655769230769231	0.03691294798945672
KEGG_OOCYTE_MEIOSIS	85	0.06235994397759104	0.0608142235761686
KEGG_OXIDATIVE_PHOSPHORYLATION	115	0.022610221205186878	0.1771586012347671
KEGG_P53_SIGNALING_PATHWAY	64	0.05324503968253967	0.04496738312636041
