Geneset	Number of Genes	Edge Density	Segregation
ABNORMAL_AMINO_ACID_LEVEL	55	0.023813468013468012	0.005309518997787188
ABNORMAL_ASSOCIATIVE_LEARNING	46	0.014642512077294686	0.0022312282738655665
ABNORMAL_BEHAVIORAL_RESPONSE_TO_LIGHT	22	0.005186147186147186	0.0005960181213389413
ABNORMAL_BEHAVIORAL_RESPONSE_TO_XENOBIOTIC	57	0.019296365914786968	0.005084018284438911
ABNORMAL_BONE_MINERALIZATION	22	0.011238095238095238	0.0009646698941241348
ABNORMAL_BRAIN_VENTRICULAR_SYSTEM_MORPHOLOGY	22	0.004943722943722943	0.0004765730143660471
ABNORMAL_CALCIUM_ION_HOMEOSTASIS	35	0.013463865546218486	0.0015410502033028225
ABNORMAL_CAUDAL_VERTEBRAE_MORPHOLOGY	24	0.0073695652173913035	0.0006957861494086158
ABNORMAL_CILIUM_MORPHOLOGY	51	0.01599137254901961	0.003394356501493739
ABNORMAL_CIRCULATING_ALANINE_TRANSAMINASE_LEVEL	20	0.000831578947368421	0.0001253537474820161
ABNORMAL_CIRCULATING_ALKALINE_PHOSPHATASE_LEVEL	57	0.00343859649122807	0.0012011386303955483
ABNORMAL_CIRCULATING_LIPOPROTEIN_LEVEL	63	0.008481822836661547	0.002493391721698648
ABNORMAL_CIRCULATING_SERUM_ALBUMIN_LEVEL	44	0.007398520084566596	0.0012611658405150474
ABNORMAL_COAT_HAIR_PIGMENTATION	46	0.008933333333333333	0.0017094617580499637
ABNORMAL_CORNEA_MORPHOLOGY	32	0.0228366935483871	0.0032375751942345034
ABNORMAL_DEPRESSION_RELATED_BEHAVIOR	30	0.01564367816091954	0.002298201526438098
ABNORMAL_DIGIT_MORPHOLOGY	30	0.002147126436781609	0.0004144621554783334
ABNORMAL_EPIDIDYMIS_MORPHOLOGY	28	0.009537037037037037	0.0010480022838019248
ABNORMAL_EXCITATORY_POSTSYNAPTIC_CURRENTS	22	0.03452813852813853	0.0050949001812215615
ABNORMAL_EXTRACUTANEOUS_PIGMENTATION	33	0.011320075757575756	0.00207525498866717
ABNORMAL_EYE_ELECTROPHYSIOLOGY	43	0.055604651162790696	0.010087438125015445
ABNORMAL_FASTED_CIRCULATING_GLUCOSE_LEVEL	54	0.005117400419287212	0.0014102978900418295
ABNORMAL_FATTY_ACID_LEVEL	43	0.02399778516057586	0.004374127369663823
ABNORMAL_FERTILIZATION	50	0.02908408163265306	0.005596966566026627
ABNORMAL_HEART_LEFT_VENTRICLE_MORPHOLOGY	27	0.008256410256410256	0.0008815058967816823
ABNORMAL_HEART_WEIGHT	35	0.00392436974789916	0.0007011277196474002
ABNORMAL_HEMATOCRIT	25	0.00773	0.0006068675741155672
ABNORMAL_HEMOGLOBIN_CONTENT	32	0.010064516129032258	0.0012172474601663576
ABNORMAL_HINDLIMB_ZEUGOPOD_MORPHOLOGY	43	0.0023167220376522704	0.0005699480453669927
ABNORMAL_IMPULSE_CONDUCTING_SYSTEM_CONDUCTION	38	0.00870981507823613	0.0012863045434721777
ABNORMAL_INNER_EAR_MORPHOLOGY	26	0.04360307692307692	0.00651196817126784
ABNORMAL_LENS_MORPHOLOGY	66	0.009650815850815852	0.002990632116854967
ABNORMAL_LIMBIC_SYSTEM_MORPHOLOGY	32	0.021520161290322578	0.0025178085300258217
ABNORMAL_LITTER_SIZE	59	0.009680888369374635	0.0021445699615455964
ABNORMAL_MALE_ACCESSORY_SEX_GLAND_MORPHOLOGY	26	0.005963076923076923	0.0006604450336271484
ABNORMAL_MALE_GERM_CELL_APOPTOSIS	38	0.03521621621621622	0.0059487094710077015
ABNORMAL_MATURE_B_CELL_NUMBER	29	0.006556650246305419	0.0010620255644155205
ABNORMAL_MEAN_CORPUSCULAR_HEMOGLOBIN	50	0.008770612244897958	0.0019315774987042206
ABNORMAL_MEAN_CORPUSCULAR_VOLUME	56	0.00893896103896104	0.0019327621721124287
ABNORMAL_MEIOSIS	53	0.06066690856313497	0.013256098195246268
ABNORMAL_MONOCYTE_MORPHOLOGY	38	0.010261735419630156	0.0014620395634310137
ABNORMAL_MUSCLE_CONTRACTILITY	44	0.02166384778012685	0.004073878455933672
ABNORMAL_MYELOBLAST_MORPHOLOGY_DEVELOPMENT	24	0.004822463768115942	0.0005958939281945579
ABNORMAL_NERVOUS_SYSTEM_ELECTROPHYSIOLOGY	57	0.034921679197994986	0.009807375301075071
ABNORMAL_NEUTROPHIL_MORPHOLOGY	45	0.0094	0.0017303428239395708
ABNORMAL_OOGENESIS	27	0.03994586894586895	0.004773272127236418
ABNORMAL_OVARY_MORPHOLOGY	22	0.021904761904761906	0.0025720190756387097
ABNORMAL_PLATELET_MORPHOLOGY	47	0.01720629047178538	0.0027950262957877137
ABNORMAL_PREPULSE_INHIBITION	51	0.011243921568627451	0.00239296305946737
ABNORMAL_PRESACRAL_VERTEBRAE_MORPHOLOGY	53	0.008697387518142235	0.0016929211881269786
ABNORMAL_RESPONSE_TO_NOVELTY	71	0.005583501006036217	0.002095300456269607
ABNORMAL_RETINAL_NEURONAL_LAYER_MORPHOLOGY	28	0.03264021164021164	0.0034917438286017352
ABNORMAL_ROD_ELECTROPHYSIOLOGY	21	0.08078095238095237	0.005187367823641724
ABNORMAL_SACRAL_VERTEBRAE_MORPHOLOGY	27	0.01113105413105413	0.0010953485953212605
ABNORMAL_SEIZURE_RESPONSE_TO_INDUCING_AGENT	36	0.017511111111111113	0.0030625040078772307
ABNORMAL_SEMINIFEROUS_TUBULE_MORPHOLOGY	49	0.01934013605442177	0.004524914784816866
ABNORMAL_SLEEP_BEHAVIOR	35	0.003405042016806723	0.0007310490156457482
ABNORMAL_SODIUM_ION_HOMEOSTASIS	44	0.004835095137420718	0.001005246887668605
ABNORMAL_SPERMATID_MORPHOLOGY	31	0.010606451612903226	0.0016764504933835954
ABNORMAL_SPERMIOGENESIS	29	0.00616256157635468	0.001183586465674573
ABNORMAL_SPERM_MIDPIECE_MORPHOLOGY	24	0.027105072463768115	0.0019614238453136363
ABNORMAL_SPERM_PHYSIOLOGY	89	0.021501276813074566	0.007560409919160121
ABNORMAL_STARTLE_REFLEX	64	0.005515873015873017	0.0018683238295799669
ABNORMAL_SYNAPSE_MORPHOLOGY	33	0.025518939393939396	0.004374389853129715
ABNORMAL_T_CELL_ACTIVATION	39	0.03318488529014845	0.004411990566701257
ABNORMAL_TESTIS_WEIGHT	59	0.03298655756867329	0.00786095962483556
ABNORMAL_TOUCH_NOCICEPTION	69	0.023138107416879796	0.005496456091029624
ABSENT_GERM_CELLS	45	0.03421919191919192	0.008139027280889303
ALTERED_SUSCEPTIBILITY_TO_BACTERIAL_INFECTION	51	0.011744313725490195	0.0032709899626874725
ARREST_OF_SPERMATOGENESIS	54	0.05237526205450735	0.013632829090790024
ATAXIA	22	0.013069264069264069	0.0010797482995484298
DECREASED_ALPHA_BETA_T_CELL_NUMBER	47	0.005073080481036078	0.0012171879185886836
DECREASED_ANXIETY_RELATED_RESPONSE	24	0.011659420289855072	0.0013515937087470958
DECREASED_BODY_LENGTH	46	0.004059903381642512	0.0008056213273004404
DECREASED_BONE_MINERAL_CONTENT	55	0.007591245791245791	0.0014392277068122205
DECREASED_BONE_MINERAL_DENSITY	42	0.002980255516840883	0.0006175078145060428
DECREASED_CHOLESTEROL_LEVEL	55	0.01673872053872054	0.004274586784498539
DECREASED_CIRCULATING_FREE_FATTY_ACID_LEVEL	21	0.002352380952380952	0.0003467255491809837
DECREASED_CIRCULATING_INSULIN_LEVEL	64	0.00800843253968254	0.002383602116644585
DECREASED_GRANULOCYTE_NUMBER	45	0.00648989898989899	0.0014808163412058978
DECREASED_GRIP_STRENGTH	50	0.005426938775510204	0.0012548986444716223
DECREASED_LEAN_BODY_MASS	73	0.0069250380517503814	0.0018904746318124319
DECREASED_MONOCYTE_CELL_NUMBER	23	0.005841897233201582	0.0005570650586407085
DECREASED_MYELOID_CELL_NUMBER	38	0.017621621621621623	0.002241828266327316
DECREASED_RIB_NUMBER	23	0.004573122529644269	0.0005560462945786208
DECREASED_STARTLE_REFLEX	29	0.011389162561576356	0.0014820736081601223
DECREASED_THRESHOLD_FOR_AUDITORY_BRAINSTEM_RESPONSE	22	0.0031731601731601737	0.0003905136613186363
DECREASED_TRIGLYCERIDE_LEVEL	49	0.010392857142857143	0.002832267737592317
DECREASED_VERTEBRAE_NUMBER	51	0.007718431372549021	0.0015498296777973237
FEMALE_INFERTILITY	48	0.013274822695035462	0.00290814371520312
IMPAIRED_GLUCOSE_TOLERANCE	53	0.008918722786647315	0.0018470856550278228
IMPAIRED_HEARING	24	0.04569565217391305	0.004188551226891482
IMPROVED_GLUCOSE_TOLERANCE	40	0.007502564102564103	0.001285463368687237
INCREASED_ALPHA_BETA_T_CELL_NUMBER	31	0.005361290322580645	0.00069088639643854
INCREASED_ANXIETY_RELATED_RESPONSE	41	0.006539024390243902	0.0013330485916349085
INCREASED_B_CELL_NUMBER	33	0.004549242424242424	0.0009592824152191233
INCREASED_BODY_SIZE	48	0.006604609929078014	0.0013524614344260439
INCREASED_BONE_MINERAL_CONTENT	41	0.007986585365853657	0.0014423867900363644
INCREASED_BONE_MINERAL_DENSITY	26	0.005473846153846155	0.0006889570143492049
INCREASED_CIRCULATING_GLUCOSE_LEVEL	54	0.008191474493361285	0.0023987759325952564
INCREASED_CIRCULATING_HDL_CHOLESTEROL_LEVEL	30	0.003379310344827586	0.0004097442192616575
INCREASED_EXPLORATION_IN_NEW_ENVIRONMENT	42	0.002456445993031359	0.0006574254101914926
INCREASED_GRIP_STRENGTH	43	0.00825581395348837	0.0015722637075349076
INCREASED_IMMUNOGLOBULIN_LEVEL	25	0.009266666666666666	0.001121675573496985
INCREASED_LEAN_BODY_MASS	46	0.0065690821256038645	0.0011332733832435885
INCREASED_STARTLE_REFLEX	30	0.004505747126436781	0.0008143099180455234
INCREASED_STEROL_LEVEL	61	0.013733333333333332	0.00360205672107064
INCREASED_THERMAL_NOCICEPTIVE_THRESHOLD	28	0.018502645502645503	0.0015755059065702918
OLIGOZOOSPERMIA	50	0.009970612244897958	0.0023699730967111617
REDUCED_MALE_FERTILITY	51	0.016657254901960784	0.0031595383902212884
TERATOZOOSPERMIA	73	0.01239916286149163	0.004105015324676667
